reference,read_count
2800973950 <unknown description>,3
A0A2E7ED98|UNREVIEWED|DIHYDROFOLATE <unknown description>,3
R6DK41_9CLOT <unknown description>,3
645962257 <unknown description>,3
A0A2T4MZZ3|UNREVIEWED|DIHYDROFOLATE <unknown description>,3
A0A2N1YP15|UNREVIEWED|DIHYDROFOLATE <unknown description>,2
A0A437PU15_9BACT <unknown description>,2
2830509697 <unknown description>,2
P0ABQ4_folA_esm1b-from-right_v1~cp4 <unknown description>,2
A0A2E1W5V3|UNREVIEWED|DIHYDROFOLATE <unknown description>,2
2893539927 <unknown description>,2
U1GTD3_TRESO <unknown description>,2
A0A6N9T6S0|UNREVIEWED|DIHYDROFOLATE <unknown description>,2
A0A0W8E2S6|UNREVIEWED|DIHYDROFOLATE <unknown description>,2
A0A1B3SL39_9MOLU <unknown description>,2
A0A4Y8SA13_9SPHI <unknown description>,1
R6NBB3_9CLOT <unknown description>,1
A0A7C1Q3K8|UNREVIEWED|DIHYDROFOLATE <unknown description>,1
A0A095XM74_9FIRM <unknown description>,1
2867449821 <unknown description>,1
A0A660LJL8|UNREVIEWED|DIHYDROFOLATE <unknown description>,1
S3WZE9_9ACTN <unknown description>,1
A0A8F3IZD5|UNREVIEWED|DIHYDROFOLATE <unknown description>,1
A0A059WQ38|UNREVIEWED|DIHYDROFOLATE <unknown description>,1
2582665106 <unknown description>,1
2792493489 <unknown description>,1
2917557254 <unknown description>,1
2042534403 <unknown description>,1
A0A0R2IAB7_9LACO <unknown description>,1
A0A1A5YNJ3_9BACL <unknown description>,1
A0A2V6F9Y9|UNREVIEWED|DIHYDROFOLATE <unknown description>,1
R5PNI8_9BACT <unknown description>,1
A0A1F3XVN1|UNREVIEWED|DIHYDROFOLATE <unknown description>,1
A0A3C0RN72|UNREVIEWED|DIHYDROFOLATE <unknown description>,1
A0A6H5IP36_9HYME <unknown description>,1
A0A2D7SQD2|UNREVIEWED|DIHYDROFOLATE <unknown description>,1
2558638925 <unknown description>,1
Q821E3|UNREVIEWED|DIHYDROFOLATE <unknown description>,1
A0A1N7NMW9_9PROT <unknown description>,1
A0A7J0ABL1|UNREVIEWED|DIHYDROFOLATE <unknown description>,1
A0A285VU84|UNREVIEWED|DIHYDROFOLATE <unknown description>,1
A0A349X2F1|UNREVIEWED|DIHYDROFOLATE <unknown description>,1
χHs_Homo_sapiens_RNEFRYFQRM~cp1 <unknown description>,1
A0A1I4P7A9_9PSED <unknown description>,1
A0A059WPE8|UNREVIEWED|DIHYDROFOLATE <unknown description>,1
2523219493 <unknown description>,1
A0A836UEA6|UNREVIEWED|DIHYDROFOLATE <unknown description>,1
A0A523JT09|UNREVIEWED|DIHYDROFOLATE <unknown description>,1
P0ABQ4_P21L~cp7 <unknown description>,1
A0A6L4YYX2|UNREVIEWED|DIHYDROFOLATE <unknown description>,1
A0A2P7TME7_9SPHI <unknown description>,1
2585032909 <unknown description>,1
A0A5C5Z8N3_9BACT <unknown description>,1
A0A0S7ZL72|UNREVIEWED|DIHYDROFOLATE <unknown description>,1
A0A6B1ANJ8|UNREVIEWED|DIHYDROFOLATE <unknown description>,1
P0ABQ4_folA_gremlin-smooth_v1~cp4 <unknown description>,1
A0A1F6IFS2|UNREVIEWED|DIHYDROFOLATE <unknown description>,1
A0A1Z8V5X4|UNREVIEWED|DIHYDROFOLATE <unknown description>,1
2883628517 <unknown description>,1
A0A1W1ZKC4_9FLAO <unknown description>,1
A0A2N6V259|UNREVIEWED|DIHYDROFOLATE <unknown description>,1
A0A3S0ZYA1_ELYCH <unknown description>,1
A0A059WX55|UNREVIEWED|DIHYDROFOLATE <unknown description>,1
A0A2T3HIH5_9SPHI <unknown description>,1
A0A059X7X6|UNREVIEWED|DIHYDROFOLATE <unknown description>,1
A0A059WYY4|UNREVIEWED|DIHYDROFOLATE <unknown description>,1
