reference,read_count
A0A851GMR4|UNREVIEWED|DIHYDROFOLATE,22
Q7W1B0~cp3,16
A0A353D2R5|UNREVIEWED|DIHYDROFOLATE,11
A0A1H4DJS8|UNREVIEWED|DIHYDROFOLATE,10
A0A840TXI9|UNREVIEWED|DIHYDROFOLATE,9
A0A059X717|UNREVIEWED|DIHYDROFOLATE,9
P0ABQ4~cp10,9
A7HVX5_PARL1,9
A0A3Q8F671_9PROT,9
A0A1S2M327|UNREVIEWED|DIHYDROFOLATE,8
F8UVU7|UNREVIEWED|DIHYDROFOLATE,8
A0A3D4VQY2|UNREVIEWED|DIHYDROFOLATE,8
2710530931,8
2597126527,7
A0A7Z9H7Y7|UNREVIEWED|DIHYDROFOLATE,7
A0A0N0M7S8|UNREVIEWED|DIHYDROFOLATE,7
A0A0G0FJ94|UNREVIEWED|DIHYDROFOLATE,7
2889565980,7
C1D068_DEIDV,6
A0A2A4Y9A4|UNREVIEWED|DIHYDROFOLATE,6
A0A377IW81|UNREVIEWED|DIHYDROFOLATE,6
A0A6L3F445|UNREVIEWED|DIHYDROFOLATE,6
A0A059XAH7|UNREVIEWED|DIHYDROFOLATE,6
2705634352,5
2525113454,5
A0A7I9VAY9|UNREVIEWED|DIHYDROFOLATE,5
A0A0A0EL08_9GAMM,5
A0A3M0LSR3|UNREVIEWED|DIHYDROFOLATE,5
A0A2A5H0W8|UNREVIEWED|DIHYDROFOLATE,5
A0A2G9Z3T2|UNREVIEWED|DIHYDROFOLATE,5
P0ABQ4_W30R~cp5,5
2514088762,5
A0A1H7ABC8_9BACT,5
A0A1F6ZK63|UNREVIEWED|DIHYDROFOLATE,5
J9G207|UNREVIEWED|DIHYDROFOLATE,4
A0A4Q2EEZ2_9ACTN,4
A0A5D8YJC3_9SPHI,4
A0A2A1ZR48_9BACT,4
A0A4S2M2A7_OPIFE,4
A0A7Y0DXN7|UNREVIEWED|DIHYDROFOLATE,4
2732289198,4
I0ALG2_IGNAJ,4
A0A1H6YVK4|UNREVIEWED|DIHYDROFOLATE,4
A0A1V6CYN4|UNREVIEWED|DIHYDROFOLATE,4
2830803811,4
2842026846,4
A0A2S7N4J8|UNREVIEWED|DIHYDROFOLATE,4
A0A2E2W7S1|UNREVIEWED|DIHYDROFOLATE,4
A0A6P0Z0T3|UNREVIEWED|DIHYDROFOLATE,4
A0A133Y1E5_9BACT,3
A0A318KUM0|UNREVIEWED|DIHYDROFOLATE,3
A0A4Y9T0L7_9BURK,3
A0A4Q4C0C7_9MICO,3
A0A2R7KTA5_9SPHI,3
B0TUI5|UNREVIEWED|DIHYDROFOLATE,3
2752681149,3
A0A2E0QDQ0|UNREVIEWED|DIHYDROFOLATE,3
R5FWW4_9FIRM,3
A0A2H0N698|UNREVIEWED|DIHYDROFOLATE,3
A0A5S9MT33|UNREVIEWED|DIHYDROFOLATE,3
A0A6G0UGG2_9BILA,3
2806748901,3
P0ABQ4_D27E~cp4,3
2938648615,3
A0A7V9Q7G2|UNREVIEWED|DIHYDROFOLATE,3
A0A0M2R9S8_9PROT,3
2940309490,3
A0A5J5L4S2|UNREVIEWED|DIHYDROFOLATE,3
A0A5M8FVT9_9GAMM,3
A0A4Q3RKB5|UNREVIEWED|DIHYDROFOLATE,3
2620024422,3
A0A353IR80|UNREVIEWED|DIHYDROFOLATE,3
A0A1I1JL85_9SPHI,3
A0A7C8CSK0|UNREVIEWED|DIHYDROFOLATE,3
2830699106,3
A0A8E4GKD6|UNREVIEWED|DIHYDROFOLATE,3
A0A1X1MLC5_9VIBR,3
A0A1L3ZWM8_9SPHN,3
A0A892ZET7|UNREVIEWED|DIHYDROFOLATE,3
A0A4Q3MEY5_9CHLR,3
2900465030,3
A0A249Q830|UNREVIEWED|DIHYDROFOLATE,3
A0A851I6G0|UNREVIEWED|DIHYDROFOLATE,3
F4KXP6_HALH1,3
A0A7G9QR79|UNREVIEWED|DIHYDROFOLATE,3
A0A3S0V2B9|UNREVIEWED|DIHYDROFOLATE,3
A0A2N4UCG0_9BURK,3
2836460007,3
A0A2W5DXV9|UNREVIEWED|DIHYDROFOLATE,3
A0A1T4KNV8_9BACT,3
A0A2L2WR07|UNREVIEWED|DIHYDROFOLATE,3
A0A085L127_9FLAO,3
A0A4U8QL49|UNREVIEWED|DIHYDROFOLATE,3
A0KNL5~cp3,3
A0A0F9QPQ6|UNREVIEWED|DIHYDROFOLATE,3
A0A134ACK5_9FIRM,3
A0A7V3QWA6|UNREVIEWED|DIHYDROFOLATE,3
A0A7Y3DDH6|UNREVIEWED|DIHYDROFOLATE,3
A0A535QF32|UNREVIEWED|DIHYDROFOLATE,3
A0A8F0PNY0|UNREVIEWED|DIHYDROFOLATE,3
A0A6N7VSK8|UNREVIEWED|DIHYDROFOLATE,3
Q8PP44~cp3,3
A0A5E4JWC1|UNREVIEWED|DIHYDROFOLATE,3
A0A5C7UHU3|UNREVIEWED|DIHYDROFOLATE,3
A0A257CVW4_9BURK,3
A0A4Q9KLS2_9ACTN,3
A0A834B496|UNREVIEWED|DIHYDROFOLATE,3
A0A6I6C939|UNREVIEWED|DIHYDROFOLATE,3
A0A0R1GPB0_9LACO,3
2778120778,3
A0A847P8S9|UNREVIEWED|DIHYDROFOLATE,3
A0A167EXK1_9FLAO,3
A0A5N5XTT3|UNREVIEWED|DIHYDROFOLATE,3
A0A2C9L0U7|UNREVIEWED|DIHYDROFOLATE,3
2705705147,3
A0A421CSV5_9EURO,3
A0A382G9H2|UNREVIEWED|DIHYDROFOLATE,3
A0A4V6X192_9BACT,3
A0A7V2F0Z4|UNREVIEWED|DIHYDROFOLATE,3
R6NF39_9CLOT,3
A0A2N1HXP8|UNREVIEWED|DIHYDROFOLATE,3
A0A418TAG3|UNREVIEWED|DIHYDROFOLATE,3
2820902277,3
A0A7Y4XUS0|UNREVIEWED|DIHYDROFOLATE,3
2753556942,3
A0A2E7MWP6|UNREVIEWED|DIHYDROFOLATE,3
A0A7G8Z9Q0|UNREVIEWED|DIHYDROFOLATE,3
A0A1G6KHD9_9ACTN,2
2616652615,2
A0A2D6KBZ4|UNREVIEWED|DIHYDROFOLATE,2
A0A1G1KBM7|UNREVIEWED|DIHYDROFOLATE,2
A0A6F8TUZ2|UNREVIEWED|DIHYDROFOLATE,2
A0A059X3F6|UNREVIEWED|DIHYDROFOLATE,2
2895277161,2
A0A059WX84|UNREVIEWED|DIHYDROFOLATE,2
A0A353L0I7|UNREVIEWED|DIHYDROFOLATE,2
