reference,read_count
cp12mer-510;8451;8452;26272;8453;8454;26273;8455;8456;26274;8457;8458,155
cp12mer-54;4160;4161;22086;4162;4164;22088;4165;4166;22089;4168;4169,66
cp12mer-89;4505;4506;22426;4507;4508;22427;4509;4510;22428;4511;4512,66
cp12mer-39;4007;4008;21962;4009;4010;21963;4011;4012;21964;4013;4014,52
cp12mer-1105;13999;14000;31781;14001;14003;31782;14004;14005;31783;14006;14007,39
cp12mer-66;4277;4278;22194;4279;4280;22195;4281;4282;22196;4283;4284,37
cp12mer-178;5338;5339;23258;5340;5341;23259;5342;5343;23260;5344;5346,35
cp12mer-471;8097;8098;25918;8099;8100;25919;8101;8102;25920;8103;8104,35
cp12mer-180;5363;5364;23274;5365;5366;23275;5368;5369;23276;5370;5371,35
cp12mer-330;6764;6766;24655;6767;6768;24656;6769;6770;24657;6771;6772,35
cp12mer-40;4015;4016;21970;4017;4018;21971;4019;4020;21972;4021;4022,34
cp12mer-514;8491;8492;26305;8493;8494;26306;8495;8496;26307;8497;8498,33
cp12mer-410;7505;7506;25369;7507;7508;25370;7509;7510;25371;7511;7512,33
cp12mer-10;3754;3755;21696;3756;3757;21697;3758;3759;21698;3760;3761,30
cp12mer-605;9329;9331;27166;9332;9333;27167;9334;9335;27168;9336;9337,30
cp12mer-563;8964;8966;26779;8967;8968;26780;8969;8971;26782;8973;8974,29
cp12mer-6;3721;3722;21661;3723;3724;21662;3725;3726;21663;3727;3728,28
cp12mer-101;4614;4615;22535;4616;4617;22536;4618;4619;22537;4620;4621,27
cp12mer-618;9476;9477;27273;9478;9479;27274;9480;9481;27275;9482;9483,27
cp12mer-8;3738;3739;21679;3740;3741;21680;3742;3743;21681;3744;3745,26
cp12mer-468;8073;8074;25893;8075;8076;25894;8077;8078;25895;8079;8080,26
cp12mer-370;7129;7130;25005;7131;7132;25006;7133;7134;25007;7136;7137,26
cp12mer-616;9460;9461;27257;9462;9463;27258;9464;9465;27259;9466;9467,26
cp12mer-47;4101;4102;22027;4103;4104;22028;4105;4106;22029;4107;4108,26
cp12mer-420;7598;7599;25469;7600;7602;25470;7603;7604;25471;7605;7606,25
cp12mer-94;4554;4555;22467;4556;4557;22468;4558;4559;22469;4560;4561,25
cp12mer-88;4497;4498;22410;4499;4500;22411;4501;4502;22412;4503;4504,25
cp12mer-508;8435;8436;26256;8437;8438;26257;8439;8440;26258;8441;8442,25
cp12mer-474;8122;8123;25952;8124;8125;25953;8126;8127;25954;8128;8129,24
cp12mer-183;5388;5389;23299;5390;5391;23300;5392;5393;23301;5394;5395,24
cp12mer-83;4441;4442;22359;4443;4444;22360;4445;4446;22361;4447;4448,24
cp12mer-512;8467;8468;26288;8469;8470;26289;8471;8472;26290;8473;8474,24
cp12mer-495;8319;8320;26135;8321;8322;26136;8323;8324;26137;8325;8326,24
cp12mer-338;6833;6834;24723;6835;6836;24724;6837;6838;24725;6839;6840,24
cp12mer-1137;14278;14279;32085;14280;14281;32086;14282;14283;32087;14284;14285,23
cp12mer-240;5932;5933;23828;5934;5935;23829;5936;5938;23830;5939;5940,23
cp12mer-344;6884;6885;24779;6886;6887;24780;6888;6889;24781;6890;6891,23
cp12mer-38;3999;4000;21954;4001;4002;21955;4003;4004;21956;4005;4006,23
cp12mer-461;8015;8016;25826;8017;8018;25827;8019;8020;25828;8021;8022,22
cp12mer-43;4058;4060;21994;4061;4062;21995;4063;4064;21996;4065;4066,22
cp12mer-581;9118;9119;26946;9120;9121;26947;9122;9123;26948;9124;9125,22
cp12mer-367;7088;7089;24980;7090;7091;24981;7092;7093;24982;7094;7095,22
cp12mer-516;8508;8509;26321;8510;8511;26322;8512;8513;26323;8514;8515,22
cp12mer-4;3696;3697;21643;3698;3699;21644;3700;3701;21645;3702;3703,22
cp12mer-192;5480;5481;23381;5482;5483;23382;5484;5485;23383;5486;5487,22
cp12mer-373;7162;7163;25039;7164;7165;25040;7166;7167;25041;7168;7169,22
cp12mer-531;8646;8647;26461;8648;8649;26462;8650;8651;26463;8652;8653,21
cp12mer-517;8516;8517;26329;8518;8519;26330;8520;8521;26331;8522;8523,21
cp12mer-342;6867;6868;24763;6869;6870;24764;6871;6872;24765;6873;6874,21
cp12mer-71;4322;4323;22234;4324;4325;22235;4326;4327;22236;4328;4330,21
cp12mer-162;5190;5191;23098;5192;5193;23099;5194;5195;23100;5196;5197,20
cp12mer-326;6731;6732;24623;6733;6734;24624;6735;6736;24625;6737;6738,20
